date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,4.56,4.6,4.5,4.57,164799675,0.419,1.7817,,,,0.0,0.0,0.0
2026-04-22,4.54,4.65,4.53,4.62,120971819,0.3075,1.0941,,,,0.003988603988603678,0.0007977207977207357,0.006381766381765885
2026-04-23,4.62,4.69,4.59,4.66,130802484,0.3325,0.8658,,,,0.010259007637924533,0.0026899781657614952,0.015138058944326075
2026-04-24,4.65,4.67,4.55,4.64,151010081,0.3839,-0.4292,,,,0.013459363686390446,0.0048438552698872855,0.017231016833006322
2026-04-27,4.61,4.66,4.54,4.62,108342303,0.2754,-0.431,4.622,,,0.014217940491469072,0.006718672314203643,0.014998536354530858
2026-04-28,4.61,4.72,4.6,4.71,134609334,0.3422,1.9481,4.65,,,0.021829726415773187,0.009740883134517552,0.02417768656251127
2026-04-29,4.71,4.72,4.48,4.54,231861784,0.5895,-3.6093,4.6339999999999995,,,0.013983350984208442,0.010589376704455731,0.006787948559505423
2026-04-30,4.51,4.59,4.45,4.58,142408180,0.362,0.8811,4.618,,,0.010867434609229676,0.010644988285410521,0.00044489264763830985
2026-05-06,4.57,4.6,4.5,4.59,168084332,0.4273,0.2183,4.6080000000000005,,,0.009100064975167577,0.010336003623361931,-0.0024718772963887095
2026-05-07,4.58,4.67,4.57,4.64,134532861,0.342,1.0893,4.612,4.617,,0.011600273210871315,0.010588857540863809,0.002022831340015012
2026-05-08,4.63,4.74,4.62,4.68,129747443,0.3299,0.8621,4.606,4.628,,0.016617812162366796,0.011794648465164407,0.00964632739440478
2026-05-11,4.68,4.77,4.65,4.76,127219753,0.3234,1.7094,4.65,4.642,,0.026741322028498438,0.014783983177831214,0.023914677701334448
2026-05-12,4.76,4.83,4.73,4.77,164501423,0.4182,0.2101,4.688,4.6530000000000005,,0.035165823239529104,0.018860351190170793,0.03261094409871662
2026-05-13,4.77,4.86,4.74,4.83,159842376,0.4064,1.2579,4.736,4.672,,0.04615179059017205,0.024318639070171046,0.043666303040002005
2026-05-14,4.83,4.9,4.76,4.76,170586884,0.4337,-1.4493,4.76,4.686,,0.048649038051898685,0.02918471886651658,0.03892863837076421
2026-05-15,4.75,4.82,4.68,4.78,147296972,0.3745,0.4202,4.779999999999999,4.693,,0.05164660756690509,0.033677096606594285,0.03593902192062161
2026-05-18,4.76,4.83,4.74,4.8,129944626,0.3304,0.4184,4.787999999999999,4.718999999999999,,0.05500200695824198,0.03794207867692383,0.0341198565626363
2026-05-19,4.8,4.94,4.79,4.89,143550601,0.3649,1.875,4.811999999999999,4.75,,0.06418356480663157,0.043190375902865376,0.04198637780753238
2026-05-20,4.89,4.91,4.56,4.58,214945483,0.5464,-6.3395,4.762,4.749,,0.045916311670108456,0.04373556305631399,0.004361497227588926
2026-05-21,4.56,4.62,4.4,4.4,202618851,0.5151,-3.9301,4.6899999999999995,4.725,4.671,0.016722124036990138,0.038332875252449224,-0.04322150243091817
2026-05-22,4.4,4.49,4.37,4.47,140492188,0.3572,1.5909,4.628,4.704,4.6659999999999995,-0.0007573349238514382,0.03051483321718909,-0.06254433628208106
2026-05-25,4.46,4.56,4.37,4.56,112937597,0.2871,2.0134,4.58,4.683999999999999,4.663,-0.0072639499510192,0.022959076583547434,-0.06044605306913327
2026-05-26,4.53,4.66,4.51,4.61,115491000,0.2936,1.0965,4.524,4.667999999999999,4.660500000000001,-0.008290341212178198,0.016709193024402307,-0.04999906847316101
2026-05-27,4.61,4.61,4.47,4.5,105603153,0.2685,-2.3861,4.508,4.635,4.6535,-0.017774945861665614,0.009812365247188723,-0.05517462221770868
2026-05-28,4.5,4.59,4.46,4.5,98238809,0.2497,0.0,4.5280000000000005,4.609,4.6475,-0.025003340434778032,0.002849224110795371,-0.055705129091146804
2026-05-29,4.49,4.64,4.46,4.58,152486000,0.3877,1.7778,4.55,4.589,4.641,-0.023999907801920628,-0.0025206022717478294,-0.0429586110603456
2026-06-01,4.6,4.7,4.52,4.69,162421969,0.4129,2.4017,4.576,4.578,4.6485,-0.014165310635984696,-0.004849543944595204,-0.018631533382778984
2026-06-02,4.66,4.75,4.63,4.66,117217799,0.298,-0.6397,4.586,4.555000000000001,4.6525,-0.008691876267961085,-0.00561801040926838,-0.00614773171738541
2026-06-03,4.63,4.64,4.48,4.61,156329557,0.3974,-1.073,4.608,4.558000000000001,4.653499999999999,-0.008293124255772,-0.006153033178569104,-0.004280182154405791
2026-06-04,4.59,4.61,4.49,4.51,102491597,0.2606,-2.1692,4.61,4.569,4.647,-0.01586341114929013,-0.00809510877271331,-0.01553660475315364
2026-06-05,4.5,4.54,4.32,4.33,147172023,0.3741,-3.9911,4.56,4.555,4.6295,-0.035972742349063225,-0.013670635487983293,-0.04460421372215986
2026-06-08,4.3,4.34,4.23,4.27,118931603,0.3024,-1.3857,4.476000000000001,4.526000000000001,4.6049999999999995,-0.05610429537054884,-0.022157367464496404,-0.06789385581210487
2026-06-09,4.27,4.28,4.19,4.25,108049117,0.2747,-0.4684,4.394,4.49,4.579,-0.07283295605267526,-0.03229248518213218,-0.08108094174108615
2026-06-10,4.25,4.29,4.22,4.26,86896212,0.2209,0.2353,4.324,4.466,4.5505,-0.08431173059220232,-0.04269633426414621,-0.08323079265611222
