date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421113000000,9.78,9.87,9.73,9.74,43133029,422159766.0,,,,0.0,0.0,0.0
2026-04-21,20260421150000000,9.74,9.75,9.71,9.72,29715984,288922414.0,,,,-0.0015954415954428924,-0.0003190883190885785,-0.002552706552708628
2026-04-22,20260422113000000,9.71,9.71,9.61,9.62,36668921,353371285.0,,,,-0.010804457756025343,-0.0024161622064759317,-0.016776591099098823
2026-04-22,20260422150000000,9.62,9.63,9.59,9.61,31921546,306502266.0,,,,-0.018694091981485528,-0.005671748161477851,-0.026044687640015354
2026-04-23,20260423113000000,9.6,9.65,9.51,9.54,57645460,551955219.0,9.645999999999999,,,-0.030246436836401713,-0.010586685896462625,-0.03931950187987818
2026-04-23,20260423150000000,9.54,9.57,9.51,9.54,22979205,218977417.0,9.605999999999998,,,-0.03895273053371362,-0.016259894823912824,-0.04538567141960159
2026-04-24,20260424113000000,9.53,9.62,9.46,9.52,47161347,449589839.0,9.565999999999999,,,-0.04692543664375748,-0.022393003187881757,-0.049064866911751444
2026-04-24,20260424150000000,9.52,9.54,9.44,9.45,37697670,357130257.0,9.532,,,-0.058221141583036484,-0.029558630866912704,-0.05732502143224756
2026-04-27,20260427113000000,9.44,9.5,9.41,9.41,42723407,403602983.0,9.492,,,-0.06959844725816389,-0.037566594145162946,-0.06406370622600188
2026-04-27,20260427150000000,9.42,9.43,9.34,9.36,44558087,417781156.0,9.456,9.550999999999998,,-0.08170775002633412,-0.04639482532139719,-0.07062584940987388
2026-04-28,20260428113000000,9.34,9.37,9.25,9.28,38727156,360955504.0,9.404,9.504999999999999,,-0.09664571943129552,-0.05644500414337686,-0.08040143057583732
2026-04-28,20260428150000000,9.29,9.38,9.27,9.37,20727803,193261999.0,9.373999999999999,9.469999999999999,,-0.10006839381488142,-0.06516968207767777,-0.06979742347440729
2026-04-29,20260429113000000,9.36,9.38,9.32,9.33,29521395,276016572.0,9.35,9.440999999999999,,-0.10480047894373357,-0.07309584145088893,-0.06340927498568927
2026-04-29,20260429150000000,9.34,9.39,9.33,9.38,31973638,299638115.0,9.344,9.418,,-0.10332504160658118,-0.07914168148202738,-0.0483667202491076
2026-04-30,20260430113000000,9.36,9.36,9.27,9.28,43305234,403278693.0,9.328,9.392,,-0.10896878680845212,-0.08510710254731234,-0.04772336852227957
2026-04-30,20260430150000000,9.29,9.29,9.25,9.27,35133570,325661243.0,9.325999999999999,9.365,,-0.11294643576366781,-0.09067496919058343,-0.04454293314616875
2026-05-06,20260506113000000,9.27,9.28,9.16,9.17,54779164,504454570.0,9.286,9.33,,-0.12275289650335353,-0.09709055465313746,-0.05132468370043214
2026-05-06,20260506150000000,9.17,9.2,9.16,9.18,33156627,304177945.0,9.256,9.303,,-0.1282394068093371,-0.1033203250843774,-0.0498381634499194
