date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,114.31896408,115.34188592,112.82927208,113.4152176,1726958,0.8447,-0.6179,,,,0.0,0.0,0.0
2026-04-22,113.0179664,114.2593764,112.5214024,113.8621252,1855976,0.9078,0.394,,,,0.03565074871794138,0.007130149743588277,0.05704119794870621
2026-04-23,113.70322472,117.87436232,113.70322472,116.62302104,4995714,2.4435,2.4248,,,,0.2834183738534506,0.06238779456556074,0.4420611585757797
2026-04-24,115.70934328,119.35412304,115.11346648,118.0829192,4720495,2.3089,1.2518,,,,0.590767581536781,0.1680637519598048,0.8454076591539523
2026-04-27,117.17917272,119.0760472,116.3946016,117.52676752,2828464,1.3834,-0.471,115.902010112,,,0.780470472553219,0.29054509607848766,0.9798507529494627
2026-04-28,117.17917272,118.85755904,115.23264184,115.61996176,2680068,1.3109,-1.6224,116.342958944,,,0.7680939821239008,0.38605487328757027,0.764078217672661
2026-04-29,115.11,117.5,115.11,116.17,2198865,1.0755,0.4757,116.80453390400001,,,0.7935217881735923,0.4675482562647747,0.6519470638176352
2026-04-30,115.53,116.78,114.5,115.05,2094760,1.0246,-0.9641,116.48992969599999,,,0.7150561457547013,0.5170498341627601,0.39601262318388253
2026-05-06,114.97,116.29,114.68,115.73,2399397,1.1736,0.591,116.019345856,,,0.6996764413438399,0.5535751555989761,0.2922025714897276
2026-05-07,115.77,118.18,115.72,116.96,2812496,1.3756,1.0628,115.905992352,115.904001232,,0.7777729528014845,0.5984147150394779,0.3587164755240133
2026-05-08,116.33,118.75,116.33,118.0,3296066,1.6122,0.8892,116.38199999999999,116.36247947199999,,0.9130591318318295,0.6613435983979482,0.5034310668677626
2026-05-11,117.9,118.5,116.1,118.49,3336068,1.6317,0.4153,116.846,116.82526695199999,,1.0477356637577913,0.7386220114699168,0.6182273045757489
2026-05-12,118.04,118.04,114.8,115.3,3184087,1.5574,-2.6922,116.896,116.692964848,,0.8868385230871638,0.7682653137933663,0.2371464185875951
2026-05-13,116.6,121.2,116.49,119.84,6041517,2.955,3.9376,117.71799999999999,116.868672928,,1.1128383299909501,0.8371799170328831,0.5513168259161341
2026-05-14,118.2,118.88,116.58,116.74,3730922,1.8248,-2.5868,117.674,116.789996176,,1.029928340186359,0.8757296016635783,0.30839747704556153
2026-05-15,116.03,116.74,113.35,113.56,3393836,1.66,-2.724,116.78599999999999,116.58399999999999,,0.6995580821891707,0.8404952977686968,-0.2818744311590522
2026-05-18,113.0,113.01,108.1,108.2,3895858,1.9055,-4.72,114.728,115.787,,0.005170466012572206,0.673430331417472,-1.3365197308097996
2026-05-19,108.25,109.46,106.36,107.41,2674022,1.3079,-0.7301,113.15,115.023,,-0.6019442813168183,0.418355408870614,-2.0405993803748648
2026-05-20,107.13,107.13,103.7,104.82,3192000,1.5613,-2.4113,110.146,113.93200000000002,,-1.2773539063604602,0.07921354582439916,-2.713134904369719
