date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-24,68.5660485,72.8292225,63.237081,71.4792174,68126021,8.5644,4.8244,,,,0.0,0.0,0.0
2026-04-30,71.52895443,72.44553684,63.27260745,66.02235468,45883991,5.7683,-7.6342,,,,-0.4353052882051145,-0.0870610576410229,-0.6964884611281832
2026-05-08,68.21788929,73.63922556,68.21788929,70.61237202,39515686,4.9677,6.9522,,,,-0.40524046650592993,-0.1506969394140043,-0.5090870541838513
2026-05-15,71.87000835,78.39266457,67.2870963,67.84130892,67759835,8.5183,-3.9243,,,,-0.5981207484623638,-0.24018170122367621,-0.7158780944773753
2026-05-22,67.43630739,73.13474997,64.3028745,69.98000121,54472966,6.848,3.1525,69.187050846,,,-0.5718136556537274,-0.30650809210968644,-0.530611127088082
2026-05-29,70.0,72.19,63.86,64.46,69305660,6.2234,-7.888,67.783207366,,,-0.9850282674343873,-0.44221212717462666,-1.0856322805195213
2026-06-05,65.05,69.88,60.55,63.76,63552920,5.7068,-1.0859,67.33073642999999,,,-1.3533869716222569,-0.6244470960641527,-1.4578797511162083
2026-06-12,61.0,61.9,55.85,56.0,53038788,4.7627,-12.1706,64.40826202599999,,,-2.2455952216654964,-0.9486767211844215,-2.59383700096215
2026-06-18,58.0,68.77,57.8,67.8,54578007,4.9008,21.0714,64.400000242,,,-1.9777174093441943,-1.154484858816376,-1.6464651010556364
