date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,21.19,21.31,21.03,21.14,9411604,0.9212,-0.33,,,,0.0,0.0,0.0
2026-04-22,21.06,21.1,20.92,21.07,11544400,1.1299,-0.3311,,,,-0.005584045584047459,-0.0011168091168094918,-0.008934472934475935
2026-04-23,21.05,21.37,21.0,21.0,16835479,1.6478,-0.3322,,,,-0.01547941980991041,-0.003989331255429676,-0.02298017710896147
2026-04-24,20.9,20.9,20.39,20.62,15767303,1.5432,-1.8095,,,,-0.05336919255313077,-0.013865303514969897,-0.07900777807632176
2026-04-27,20.18,20.51,19.97,20.34,20196470,1.9768,-1.3579,20.834,,,-0.10478289834849974,-0.03204882248167587,-0.14546815173364774
2026-04-28,20.28,20.39,19.4,19.54,27468478,2.6885,-3.9331,20.514,,,-0.20768784849189714,-0.06717662768372012,-0.28102244161635404
2026-04-29,19.44,19.9,19.44,19.82,13046490,1.2769,1.433,20.264000000000003,,,-0.2636083895046184,-0.10646298004789978,-0.31429081891343724
2026-04-30,19.77,19.83,19.37,19.44,20604244,2.0167,-1.9173,19.951999999999998,,,-0.3347300852894648,-0.1521164010962128,-0.365227368386504
2026-05-06,19.58,19.92,19.5,19.77,14046251,1.3748,1.6975,19.782,,,-0.3603128374252904,-0.19375568836202833,-0.33311429812652416
2026-05-07,19.85,20.07,19.61,20.07,18812990,1.8413,1.5175,19.728,20.281,,-0.35231855106531995,-0.22546826090268668,-0.25370058032526654
2026-05-08,19.96,20.42,19.96,20.22,17312510,1.6945,0.7474,19.863999999999997,20.189,,-0.33007438310733406,-0.24638948534361615,-0.1673697955274358
2026-05-11,20.5,20.5,20.07,20.22,16147928,1.5805,0.0,19.944,20.104,,-0.3088850847572644,-0.2588886052263458,-0.09999295906183714
2026-05-12,20.18,20.21,19.78,19.91,14013880,1.3716,-1.5331,20.038,19.994999999999997,,-0.31349306941453037,-0.26980949806398274,-0.08736714270109525
2026-05-13,19.89,20.02,19.73,20.0,13655461,1.3365,0.452,20.083999999999996,19.933,,-0.3063512560330217,-0.2771178496577905,-0.058466812750462394
2026-05-14,20.13,20.28,19.39,19.4,18052264,1.7669,-3.0,19.95,19.839000000000002,,-0.3451278836568221,-0.29071985645759685,-0.10881605439845055
2026-05-15,19.41,19.68,19.19,19.33,14556191,1.4247,-0.3608,19.772,19.817999999999998,,-0.3771593966537381,-0.3080077644968251,-0.138303264313826
2026-05-18,19.18,19.31,18.94,19.09,12863986,1.2591,-1.2416,19.546,19.744999999999997,,-0.41710249775783126,-0.32982671114902634,-0.17455157321760983
2026-05-19,19.03,19.53,19.03,19.38,13411124,1.3126,1.5191,19.44,19.738999999999997,,-0.4205097422381563,-0.3479633173668523,-0.14509284974260794
