date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-24,6.19,6.36,6.1,6.13,623838110,4.3195,-1.2882,,,,0.0,0.0,0.0
2026-04-30,6.09,6.45,6.04,6.29,623004863,4.3139,2.6101,,,,0.01276353276353337,0.002552706552706674,0.02042165242165339
2026-05-08,6.29,6.48,6.22,6.25,431876191,2.9903,-0.6359,,,,0.019427115039651888,0.005927588250095717,0.026999053579112343
2026-05-15,6.25,6.26,5.89,5.92,807312999,5.5899,-5.28,,,,-0.0018983075649812164,0.00436240908708033,-0.012521433304123093
2026-05-22,5.93,5.93,5.45,5.51,967654504,6.7001,-6.9257,6.0200000000000005,,,-0.05129117932000682,-0.0067683085943371,-0.08904574145133944
2026-05-29,5.51,5.65,5.36,5.58,807767502,5.5932,1.2704,5.91,,,-0.08382073776830357,-0.022178794429130396,-0.12328388667834633
2026-06-05,5.55,5.7,5.36,5.39,707387931,4.898,-3.405,5.7299999999999995,,,-0.12350833213356971,-0.04244470197001826,-0.1621272603271029
2026-06-12,5.36,5.47,5.25,5.45,760425596,5.2652,1.1132,5.569999999999999,,,-0.14840877407634423,-0.06363751639128346,-0.16954251537012155
2026-06-18,5.44,5.51,4.95,5.02,764850766,5.296,-7.8899,5.39,,,-0.2005283935577049,-0.09101569182456776,-0.2190254034662743
