date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421113000000,93.94,93.94,89.71,90.09,39653781,3599676881.44,,,,0.0,0.0,0.0
2026-04-21,20260421150000000,90.08,90.83,89.91,90.05,18491709,1668216540.05,,,,-0.003190883190882232,-0.0006381766381764464,-0.0051054131054115715
2026-04-22,20260422113000000,89.98,91.25,89.22,90.85,25528220,2303136653.64,,,,0.05816316426002288,0.01112209154146342,0.09408214543711893
2026-04-22,20260422150000000,90.98,93.93,90.51,93.5,31809013,2938780252.66,,,,0.3169657579693137,0.07229082482703349,0.48934986628456045
2026-04-23,20260423113000000,92.88,99.6,92.84,94.63,53179966,5128636281.49,91.824,,,0.6062616275937529,0.17908498538037737,0.8543532844267511
2026-04-23,20260423150000000,94.64,97.5,93.89,95.87,21492902,2057659939.7199998,92.97999999999999,,,0.92492635020443,0.3282532583451879,1.1933461837184842
2026-04-24,20260424113000000,94.78,95.02,90.0,92.8,43689332,4000496220.1800003,93.53,,,0.9191516872902383,0.44643294413419804,0.9454374863120806
2026-04-24,20260424150000000,92.88,94.49,92.5,92.95,16665538,1556368702.9299998,93.95,,,0.9161185276020092,0.5403700608277603,0.7514969335484978
2026-04-27,20260427113000000,93.01,93.19,90.26,90.85,26737801,2436569154.4,93.41999999999999,,,0.7357806557368463,0.5794521798095775,0.31265695185453746
2026-04-27,20260427150000000,90.86,90.86,89.61,90.12,21348287,1925725514.7,92.518,92.171,,0.5278717173155769,0.5691360873107774,-0.08252873999040089
2026-04-28,20260428113000000,90.5,91.46,88.4,89.97,24993940,2237756281.77,91.338,92.15899999999999,,0.3469986548223858,0.524708600813099,-0.35541989198142643
2026-04-28,20260428150000000,89.95,90.15,88.09,88.31,13253118,1175928744.42,90.44,91.985,,0.06891293742945948,0.43354946813637113,-0.7292730614138233
2026-04-29,20260429113000000,87.38,91.0,86.66,90.14,24379601,2178524500.94,89.878,91.914,,-0.00376291451576094,0.34608699160594475,-0.6996998122434114
2026-04-29,20260429150000000,90.14,92.92,90.14,90.44,21579564,1970179822.4499998,89.796,91.60799999999999,,-0.03672817841000153,0.2695239576027555,-0.612504272025514
2026-04-30,20260430113000000,89.98,90.99,87.2,88.66,25289726,2240984865.91,89.50399999999999,91.011,,-0.20413141162158865,0.17479288375788668,-0.7578485907589507
2026-04-30,20260430150000000,88.65,89.99,88.22,89.06,13616110,1214384489.79,89.322,90.33,,-0.3010526751164804,0.07962377198301329,-0.7613528941989873
