date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421100000000,6.19,6.24,6.18,6.2,19608822,121737562.18,,,,0.0,0.0,0.0
2026-04-21,20260421103000000,6.2,6.25,6.18,6.25,22174205,137910446.55,,,,0.003988603988603678,0.0007977207977207357,0.006381766381765885
2026-04-21,20260421110000000,6.24,6.28,6.24,6.26,19547300,122378655.0,,,,0.007865845244762859,0.002211345687129161,0.011308999115267396
2026-04-21,20260421113000000,6.26,6.28,6.25,6.28,11900789,74609889.78,,,,0.012409372209048364,0.004250950991513002,0.016316842435070724
2026-04-21,20260421133000000,6.28,6.31,6.28,6.3,20901720,131589355.4,6.258,,,0.017423139805465837,0.0068853887543035685,0.021075502102324537
2026-04-21,20260421140000000,6.3,6.31,6.28,6.28,16156260,101763897.0,6.274,,,0.0195573094060153,0.009419772884645915,0.02027507304273877
2026-04-21,20260421143000000,6.28,6.31,6.26,6.28,19682900,123722365.8,6.28,,,0.021006504285009164,0.011737119164718566,0.018538770240581197
2026-04-21,20260421150000000,6.28,6.29,6.26,6.28,10959786,68770218.94,6.284000000000001,,,0.02190252301601614,0.013770199934978081,0.016264646162076117
2026-04-22,20260422100000000,6.28,6.29,6.2,6.22,24095200,150268989.0,6.272,,,0.017568605805083237,0.014529881108999113,0.006077449392168248
2026-04-22,20260422103000000,6.21,6.24,6.2,6.22,14844410,92295410.0,6.256,6.257,,0.013972874590761464,0.014418479805351584,-0.0008912104291802399
2026-04-22,20260422110000000,6.21,6.31,6.21,6.3,24430321,153132905.04,6.26,6.2669999999999995,,0.017378237604147806,0.01501043136511083,0.004735612478073952
2026-04-22,20260422113000000,6.31,6.32,6.3,6.31,10786766,68077278.46,6.266,6.273,,0.020645935263022608,0.016137532144693188,0.00901680623665884
2026-04-22,20260422133000000,6.31,6.35,6.3,6.34,20356684,128723210.74,6.278,6.281000000000001,,0.025363978326094383,0.01798282138097343,0.014762313890241907
2026-04-22,20260422140000000,6.35,6.36,6.28,6.28,14132760,89391406.44,6.29,6.281,,0.023985077839030033,0.019183272672584753,0.009603610332890561
2026-04-22,20260422143000000,6.28,6.29,6.25,6.25,11061640,69301807.2,6.296,6.276,,0.02023824608604219,0.019394267355276242,0.001687957461531893
2026-04-22,20260422150000000,6.26,6.27,6.24,6.26,12164464,76071053.1,6.287999999999999,6.274,,0.01786977965750669,0.019089369815722332,-0.002439180316431283
2026-04-23,20260423100000000,6.27,6.29,6.22,6.29,37373625,233505313.0,6.284000000000001,6.275,,0.01820366174731536,0.018912228202040936,-0.0014171329094511548
2026-04-23,20260423103000000,6.28,6.29,6.24,6.26,13009800,81446112.95,6.268,6.273,,0.015864638749333082,0.018302710311499364,-0.0048761431243325645
2026-04-23,20260423110000000,6.26,6.29,6.25,6.26,13747100,86229073.0,6.264,6.276999999999999,,0.013851277269439244,0.01741242370308734,-0.0071222928672961955
2026-04-23,20260423113000000,6.25,6.26,6.22,6.23,10123000,63119458.0,6.26,6.2780000000000005,6.2675,0.009722845599784868,0.01587450808242685,-0.012303324965283961
2026-04-23,20260423133000000,6.23,6.25,6.21,6.22,15171356,94432035.76,6.252000000000001,6.2700000000000005,6.2684999999999995,0.0055797969059003805,0.013815565847121557,-0.016471537882442353
2026-04-23,20260423140000000,6.22,6.23,6.21,6.21,7037600,43751471.0,6.236,6.26,6.2665,0.001472510357632295,0.011346954749223705,-0.01974888878318282
2026-04-23,20260423143000000,6.21,6.23,6.19,6.2,18899044,117217775.24,6.224,6.246,6.2635000000000005,-0.0025599507312685787,0.008565573653125248,-0.022251048768787654
2026-04-23,20260423150000000,6.2,6.23,6.19,6.23,10979558,68267978.66,6.218,6.2410000000000005,6.261,-0.0032969507213618243,0.006193068778227834,-0.018980038999179317
2026-04-24,20260424100000000,6.2,6.2,6.1,6.14,42628736,261559340.4,6.2,6.23,6.252999999999999,-0.01101628745751615,0.0027511975310790374,-0.027534969977190373
