date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-24,9.95,11.22,9.18,10.48,1336531797,39.5753,5.2209,,,,0.0,0.0,0.0
2026-04-30,9.81,9.9,8.71,8.74,749998878,22.2078,-16.6031,,,,-0.13880341880341973,-0.027760683760683948,-0.22208547008547158
2026-05-08,8.87,9.96,8.86,9.56,543858239,16.1038,9.3822,,,,-0.18055762534395114,-0.05832007207733739,-0.24447510653322752
2026-05-15,9.8,9.8,8.82,8.9,693316793,20.5294,-6.9038,,,,-0.26386297092022026,-0.09942865184591397,-0.32886863814861256
2026-05-22,8.87,9.04,8.11,8.29,461673784,13.6703,-6.8539,9.193999999999999,,,-0.3747846750506856,-0.15449985648686831,-0.44056963712763453
2026-05-29,8.38,8.44,7.8,7.85,317645810,9.4056,-5.3076,8.668,,,-0.4925178087705575,-0.22210344694360618,-0.5408287236539027
2026-06-05,7.84,7.95,7.19,7.24,254006132,7.5212,-7.7707,8.368,,,-0.6278070980522745,-0.30324417716533986,-0.6491258417738693
2026-06-12,7.01,7.21,6.62,6.75,285335728,8.4489,-6.768,7.806,,,-0.765736802212567,-0.39574270217478535,-0.7399882000755633
2026-06-18,6.84,7.38,6.8,6.95,229271054,6.7888,2.963,7.4159999999999995,,,-0.8491206239653586,-0.48641828653290003,-0.7254046748649171
