date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421100000000,7.2,7.27,7.19,7.23,12901192,93463173.0,,,,0.0,0.0,0.0
2026-04-21,20260421103000000,7.24,7.24,7.22,7.23,3439900,24868801.0,,,,0.0,0.0,0.0
2026-04-21,20260421110000000,7.23,7.24,7.22,7.23,3606521,26090116.0,,,,0.0,0.0,0.0
2026-04-21,20260421113000000,7.23,7.24,7.22,7.22,2192779,15856155.0,,,,-0.000797720797720558,-0.0001595441595441116,-0.0012763532763528929
2026-04-21,20260421133000000,7.23,7.24,7.2,7.21,3769394,27199025.0,7.224000000000001,,,-0.002211345687129551,-0.0005699044650611995,-0.003282882444136703
2026-04-21,20260421140000000,7.21,7.21,7.18,7.21,3476000,25021673.0,7.220000000000001,,,-0.003293686034249177,-0.001114660778898795,-0.004358050510700763
2026-04-21,20260421143000000,7.21,7.21,7.18,7.18,5043602,36288450.0,7.209999999999999,,,-0.006497300995277122,-0.0021911888221744606,-0.008612224346205323
2026-04-21,20260421150000000,7.18,7.2,7.16,7.18,8451200,60671230.0,7.2,,,-0.008933212420637382,-0.003539593541867045,-0.010787237757540674
2026-04-22,20260422100000000,7.18,7.19,7.13,7.14,10508400,75136740.0,7.184,,,-0.013930770233433698,-0.0056178288801803766,-0.016625882706506643
2026-04-22,20260422103000000,7.15,7.16,7.13,7.14,4602900,32880473.0,7.17,7.197,,-0.01768748053994429,-0.00803175921213316,-0.01931144265562226
2026-04-22,20260422110000000,7.13,7.15,7.13,7.14,3162400,22571855.0,7.156000000000001,7.188,,-0.020429205360830593,-0.010511248441872647,-0.019835913837915893
2026-04-22,20260422113000000,7.14,7.17,7.14,7.14,2506700,17936974.0,7.147999999999999,7.179,,-0.022344468905845183,-0.012877892534667153,-0.01893315274235606
2026-04-22,20260422133000000,7.14,7.15,7.1,7.1,10791572,76805956.0,7.132,7.1659999999999995,,-0.026781276880931237,-0.01565856940391997,-0.022245414954022533
2026-04-22,20260422140000000,7.1,7.12,7.09,7.1,8325600,59143792.0,7.124,7.154000000000001,,-0.029952208748809994,-0.018517297272897977,-0.022869822951824034
2026-04-22,20260422143000000,7.1,7.11,7.09,7.1,4779400,33926281.0,7.116,7.142999999999999,,-0.03209522136610676,-0.021232882091539736,-0.021724678549134055
2026-04-22,20260422150000000,7.1,7.11,7.08,7.1,7974640,56582788.0,7.108,7.132,,-0.03340846234699679,-0.02366799814263115,-0.019480928408731286
2026-04-23,20260423100000000,7.1,7.21,7.09,7.21,20438711,146101160.0,7.122,7.135,,-0.025281702860834088,-0.023990739086271737,-0.002581927549124702
2026-04-23,20260423103000000,7.21,7.22,7.19,7.2,10754300,77457896.0,7.142,7.1370000000000005,,-0.019424193829101988,-0.02307743003483779,0.007306472411471601
2026-04-23,20260423110000000,7.21,7.21,7.18,7.18,4249300,30592186.0,7.1579999999999995,7.141,,-0.01620906061245453,-0.021703756150361138,0.010989391075813218
2026-04-23,20260423113000000,7.18,7.19,7.17,7.19,5328246,38262491.0,7.176,7.145999999999999,7.1715,-0.012707642159384136,-0.01990453335216574,0.014393782385563207
2026-04-23,20260423133000000,7.19,7.22,7.18,7.22,6346316,45691520.0,7.2,7.153999999999999,7.171000000000001,-0.00742638676556151,-0.017408904034844897,0.019965034538566774
2026-04-23,20260423140000000,7.22,7.22,7.18,7.2,3874500,27879341.0,7.197999999999999,7.159999999999999,7.169499999999999,-0.004799461465379906,-0.0148870155209519,0.020175108111143987
2026-04-23,20260423143000000,7.2,7.2,7.19,7.2,2566734,18468455.0,7.198,7.17,7.168000000000001,-0.0026866343901339462,-0.01244693929478831,0.01952060980930873
2026-04-23,20260423150000000,7.19,7.2,7.18,7.18,6048600,43480325.0,7.198,7.178,7.1659999999999995,-0.002596110221321446,-0.01047677348009494,0.015761326517546987
2026-04-24,20260424100000000,7.19,7.19,7.11,7.17,15452700,110287681.0,7.194,7.185,7.164,-0.003293322223291817,-0.009040083228734315,0.011493522010884997
2026-04-24,20260424103000000,7.17,7.17,7.14,7.15,6517540,46642443.0,7.18,7.19,7.161,-0.005397481800638815,-0.008311562943115216,0.005828162284952802
2026-04-24,20260424110000000,7.16,7.16,7.12,7.12,4829060,34473118.0,7.164,7.181,7.1579999999999995,-0.009377692503110602,-0.008524788855114294,-0.001705807295992616
2026-04-24,20260424113000000,7.13,7.16,7.12,7.14,2944000,21021494.0,7.151999999999999,7.175,7.156000000000001,-0.010793781315553197,-0.008978587347202076,-0.0036303879367022424
2026-04-24,20260424133000000,7.14,7.17,7.13,7.14,2695500,19267367.0,7.144,7.171000000000001,7.155999999999999,-0.011780246552474338,-0.009538919188256528,-0.00448265472843562
2026-04-24,20260424140000000,7.14,7.15,7.13,7.14,2219267,15846769.0,7.138,7.166000000000001,7.156000000000001,-0.01241887035288336,-0.010114909421181895,-0.00460792186340293
2026-04-24,20260424143000000,7.15,7.16,7.14,7.14,4301730,30751883.0,7.136,7.158000000000001,7.156000000000001,-0.012777691047188178,-0.010647465746383152,-0.004260450601610052
2026-04-24,20260424150000000,7.14,7.16,7.14,7.15,5386676,38508017.0,7.142,7.1530000000000005,7.156499999999999,-0.01211548286127595,-0.010941069169361712,-0.002348827383828477
2026-04-27,20260427100000000,7.15,7.19,7.13,7.13,13917443,99658005.0,7.139999999999999,7.145999999999999,7.1579999999999995,-0.01305403219868051,-0.011363661775225471,-0.003380740846910077
2026-04-27,20260427103000000,7.13,7.14,7.09,7.09,10111148,71945470.0,7.13,7.136999999999999,7.157500000000001,-0.016831482167318335,-0.012457225853644045,-0.00874851262734858
2026-04-27,20260427110000000,7.1,7.12,7.08,7.08,11734200,83216293.0,7.118,7.128,7.156499999999999,-0.02039693177616808,-0.014045167038148853,-0.012703529476038457
