date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421100000000,9.58,9.6,9.41,9.44,7980501,75689445.0,,,,0.0,0.0,0.0
2026-04-21,20260421103000000,9.44,9.45,9.41,9.43,2327800,21946175.0,,,,-0.000797720797720558,-0.0001595441595441116,-0.0012763532763528929
2026-04-21,20260421110000000,9.43,9.44,9.42,9.42,1414500,13333191.0,,,,-0.002211345687129551,-0.0005699044650611995,-0.003282882444136703
2026-04-21,20260421113000000,9.42,9.43,9.4,9.41,1117500,10517643.0,,,,-0.004091406831969735,-0.0012742049384429066,-0.005634403787053656
2026-04-21,20260421133000000,9.41,9.46,9.4,9.42,1528400,14406208.0,9.424,,,-0.004720042693802995,-0.0019633724895149244,-0.005513340408576141
2026-04-21,20260421140000000,9.42,9.46,9.42,9.42,1299700,12266095.0,9.42,,,-0.005158774007846034,-0.0026024527931811465,-0.005112642429329775
2026-04-21,20260421143000000,9.43,9.43,9.4,9.42,1235800,11630899.0,9.418000000000001,,,-0.005443719920467771,-0.0031707062186384716,-0.004546027403658599
2026-04-21,20260421150000000,9.42,9.43,9.4,9.41,2895700,27265133.0,9.416,,,-0.006402652246077167,-0.003817095424126211,-0.0051711136439019124
2026-04-22,20260422100000000,9.38,9.44,9.36,9.43,4002700,37632870.0,9.42,,,-0.005485546207781411,-0.004150785580857252,-0.0026695212538483185
2026-04-22,20260422103000000,9.42,9.5,9.41,9.47,3893500,36873643.0,9.430000000000001,9.427,,-0.0015136192979188223,-0.003623352324269566,0.004219466052701487
2026-04-22,20260422110000000,9.48,9.54,9.47,9.51,4420000,42031693.0,9.448,9.434000000000001,,0.004806421663348104,-0.0019373975267460322,0.013487638380188273
2026-04-22,20260422113000000,9.51,9.6,9.5,9.52,6136500,58545256.0,9.468,9.443,,0.010500967468747291,0.0005502754723526323,0.019901383992789318
2026-04-22,20260422133000000,9.52,9.53,9.49,9.52,1470200,13982680.0,9.49,9.453,,0.014842837060227154,0.0034087877899275365,0.022868098540599235
2026-04-22,20260422140000000,9.52,9.54,9.48,9.49,1754200,16670036.0,9.502,9.461,,0.015682275206712504,0.00586348527328453,0.019637579866855947
2026-04-22,20260422143000000,9.48,9.5,9.47,9.47,1341800,12722393.0,9.502,9.466,,0.014565797683797399,0.007603947755387104,0.01392369985682059
2026-04-22,20260422150000000,9.47,9.5,9.47,9.49,3004901,28495251.0,9.498,9.473,,0.015120514180843259,0.009107261040478336,0.012026506280729845
