date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421103000000,3.92,3.95,3.89,3.91,34648506,135757010.52,,,,0.0,0.0,0.0
2026-04-21,20260421113000000,3.9,3.92,3.89,3.9,13604219,53145215.7,,,,-0.0007977207977210021,-0.00015954415954420043,-0.0012763532763536034
2026-04-21,20260421140000000,3.89,3.91,3.89,3.9,10803406,42118554.4,,,,-0.001413624889408105,-0.0004103603055169813,-0.0020065291677822472
2026-04-21,20260421150000000,3.9,3.91,3.89,3.9,13830764,53951732.2,,,,-0.0018800611448392957,-0.0007043004733814442,-0.002351521342915703
2026-04-22,20260422103000000,3.92,3.92,3.86,3.87,32521300,126254213.0,3.896,,,-0.004617239850435606,-0.0014868883487922768,-0.0062607030032866585
2026-04-22,20260422113000000,3.86,3.89,3.86,3.86,17065063,66045419.97,3.886,,,-0.007506855761082676,-0.0026908818312503567,-0.009631947859664638
2026-04-22,20260422140000000,3.87,3.89,3.86,3.88,13330918,51688094.24,3.882,,,-0.008089810041378431,-0.003770667473275972,-0.008638285136204918
2026-04-22,20260422150000000,3.89,3.89,3.87,3.88,13548124,52515459.88,3.878,,,-0.008454349035440956,-0.004707403785708969,-0.007493890499463973
2026-04-23,20260423103000000,3.87,3.88,3.83,3.86,41053929,157902014.36,3.87,,,-0.010239052246908464,-0.005813733477948869,-0.008850637537919192
2026-04-23,20260423113000000,3.86,3.87,3.82,3.82,21833177,83920358.71,3.8599999999999994,3.878,,-0.014711522828577905,-0.007593291348074677,-0.014236462961006457
2026-04-23,20260423140000000,3.82,3.83,3.81,3.83,20158298,76997751.36,3.854,3.87,,-0.01725022174209645,-0.009524677426879031,-0.015451088630434838
2026-04-23,20260423150000000,3.83,3.83,3.81,3.81,22993081,87741065.63,3.84,3.8609999999999998,,-0.02063808873425943,-0.011747359688355111,-0.017781458091808637
2026-04-24,20260424103000000,3.8,3.81,3.75,3.76,40532315,152889899.67,3.816,3.847,,-0.027045812574452377,-0.014807050265574566,-0.02447752461775562
2026-04-24,20260424113000000,3.76,3.77,3.75,3.76,17882222,67225029.38,3.7960000000000003,3.8329999999999997,,-0.0317578946421313,-0.018197219140885915,-0.027121351002490773
2026-04-24,20260424140000000,3.77,3.77,3.75,3.76,10220518,38378292.5,3.784,3.822,,-0.03508778350265285,-0.0215753320132393,-0.027024902978827092
2026-04-24,20260424150000000,3.75,3.78,3.75,3.75,21809279,82035417.04,3.768,3.811,,-0.038094530803601145,-0.024879171771311673,-0.026430718064578945
2026-04-27,20260427103000000,3.76,3.76,3.7,3.71,37483508,139464481.68,3.7479999999999998,3.7939999999999996,,-0.04320700198464511,-0.028544737813978364,-0.02932452834133349
2026-04-27,20260427113000000,3.71,3.73,3.7,3.71,16020554,59440209.87,3.7379999999999995,3.7769999999999997,,-0.046720111861706215,-0.032179812623523936,-0.029080598476364558
2026-04-27,20260427140000000,3.71,3.73,3.71,3.72,10872533,40459363.43,3.7299999999999995,3.7629999999999995,,-0.04814240465015329,-0.035372331028849804,-0.025540147242606975
2026-04-27,20260427150000000,3.72,3.75,3.72,3.73,15553639,58101671.47,3.724,3.754,3.816,-0.04791038441716866,-0.03787994170651358,-0.020060885421310168
2026-04-28,20260428103000000,3.73,3.81,3.72,3.76,54574580,206332691.6,3.726,3.747,3.8085,-0.04478945250338118,-0.0392618438658871,-0.01105521727498815
2026-04-28,20260428113000000,3.77,3.77,3.75,3.76,10922367,41085486.92,3.7359999999999998,3.7419999999999995,3.8015,-0.04183385681590224,-0.03977624645589013,-0.00411522072002421
2026-04-28,20260428140000000,3.76,3.77,3.73,3.74,12994600,48653677.0,3.742,3.7399999999999998,3.7935000000000003,-0.04063692165544541,-0.03994838149580119,-0.0013770803192884457
2026-04-28,20260428150000000,3.74,3.76,3.73,3.75,13018463,48785241.75,3.748,3.739,3.786,-0.038438332322831226,-0.0396463716612072,0.002416078676751948
2026-04-29,20260429103000000,3.76,3.89,3.76,3.86,95220137,366296092.01,3.774,3.749,3.7855,-0.027502818374796956,-0.03721766100392516,0.019429685258256404
2026-04-29,20260429113000000,3.86,3.87,3.85,3.87,12199601,47091901.85,3.7960000000000003,3.761,3.786,-0.01782396478730819,-0.03333892176060176,0.031029913946587148
