date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,24.75,24.79,24.27,24.36,33205825,1.196,-1.7346,,,,0.0,0.0,0.0
2026-04-22,24.24,24.25,24.1,24.2,22606642,0.8142,-0.6568,,,,-0.012763532763528929,-0.0025527065527057857,-0.020421652421646286
2026-04-23,24.2,24.99,24.02,24.28,36491573,1.3143,0.3306,,,,-0.016236231848765215,-0.005289411611917672,-0.021893640473695086
2026-04-24,24.16,24.2,23.77,23.78,29906135,1.0771,-2.0593,,,,-0.05865801908821311,-0.015963133107176758,-0.0853897719620727
2026-04-27,23.79,23.87,23.57,23.75,18275528,0.6582,-0.1262,24.074,,,-0.0936191570212479,-0.03149433788999099,-0.12424963826251383
2026-04-28,23.7,23.76,23.51,23.51,22039585,0.7938,-1.0105,23.904000000000003,,,-0.13908877611953585,-0.05301322553589996,-0.17215110116727178
2026-04-29,23.26,23.54,22.92,23.5,23850947,0.8591,-0.0425,23.764,,,-0.1739257850869116,-0.0771957374461023,-0.1934600952816186
2026-04-30,23.45,23.71,23.42,23.5,21428510,0.7718,0.0,23.607999999999997,,,-0.1992376777526701,-0.10160412550741586,-0.19526710449050846
2026-05-06,23.86,23.86,23.43,23.51,38043112,1.3702,0.0426,23.554,,,-0.2160006970463293,-0.12448343981519855,-0.1830345144622615
2026-05-07,23.5,23.56,23.24,23.46,29507028,1.0628,-0.2127,23.496000000000002,23.785,,-0.23066117430436606,-0.14571898671303207,-0.16988437518266797
2026-05-08,23.49,24.5,23.42,24.45,72946274,2.6274,4.2199,23.683999999999997,23.794000000000004,,-0.1605443268648834,-0.14868405474340235,-0.023720544242962105
2026-05-11,24.75,25.18,24.5,24.76,74024951,2.6662,1.2679,23.936,23.85,,-0.0790505651745228,-0.13475735682962645,0.11141358331020729
2026-05-12,24.95,25.79,24.58,25.55,104108215,3.7497,3.1906,24.346000000000004,23.977,,0.04871862777575586,-0.09806215990855,0.2935615753686117
2026-05-13,25.33,25.5,24.93,25.26,59169007,2.1311,-1.135,24.696,24.125,,0.12513359515530809,-0.05342300889577839,0.35711320810217295
2026-05-14,25.26,25.32,24.2,24.23,54895968,1.9772,-4.0776,24.85,24.173000000000002,,0.10141160555062712,-0.022456086006497292,0.2477353831142488
2026-05-15,24.15,24.2,23.6,23.67,41579475,1.4976,-2.3112,24.694000000000003,24.189,,0.0369979486745855,-0.010565279070280733,0.09512645548973248
2026-05-18,23.58,23.78,23.09,23.2,37237236,1.3412,-1.9856,24.382,24.159,,-0.05138309815051301,-0.018728842886327188,-0.06530851052837164
2026-05-19,23.15,23.45,23.03,23.42,26831489,0.9664,0.9483,23.956000000000003,24.151000000000003,,-0.10249208813427657,-0.03548149193591707,-0.134021192396719
2026-05-20,23.22,23.27,22.81,22.9,30532730,1.0997,-2.2203,23.484,24.09,,-0.18284822458156214,-0.06495483846504609,-0.2357867722330321
2026-05-21,22.98,23.1,22.25,22.32,34348518,1.2372,-2.5328,23.102,23.976000000000003,23.8805,-0.28998937735842034,-0.10996174624372095,-0.36005526222939876
2026-05-22,22.28,22.46,21.71,21.75,40151587,1.4462,-2.5538,22.718,23.706,23.75,-0.4160972391937534,-0.17118884483372743,-0.48981678872005197
2026-05-25,21.69,21.86,21.51,21.8,27597932,0.994,0.2299,22.438,23.410000000000004,23.630000000000003,-0.5061692421793431,-0.23818492430285057,-0.5359686357529851
2026-05-26,21.69,22.33,21.36,22.32,37819259,1.3622,2.3853,22.218,23.087,23.532000000000004,-0.5294886833540424,-0.2964456761130889,-0.466086014481907
2026-05-27,22.1,22.2,21.71,21.74,23994017,0.8642,-2.5986,21.986,22.735,23.43,-0.5879926479968525,-0.3547550704898417,-0.4664751550140216
2026-05-28,21.61,21.94,21.49,21.69,17725232,0.6384,-0.23,21.86,22.481,23.327,-0.6311169206030769,-0.41002744051248874,-0.4421789601811763
2026-05-29,21.69,21.92,21.48,21.75,21574700,0.7771,0.2766,21.86,22.288999999999998,23.239,-0.6529252034643278,-0.4586069931028566,-0.38863642072294247
2026-06-01,21.85,22.09,21.71,22.04,16225860,0.5844,1.3333,21.907999999999998,22.173000000000002,23.166,-0.6394368187719834,-0.494772958236682,-0.2893277210706029
2026-06-02,22.04,22.24,21.61,22.14,23334799,0.8405,0.4537,21.872000000000003,22.044999999999998,23.098000000000003,-0.6136047587563667,-0.518539318340619,-0.19013088083149543
2026-06-03,22.06,22.1,21.77,21.89,17738984,0.6389,-1.1292,21.901999999999997,21.944,23.017000000000003,-0.6063163384164234,-0.5360947223557798,-0.14044323212128718
2026-06-04,21.84,21.84,21.0,21.1,32150126,1.158,-3.609,21.784,21.822,22.899,-0.6567163926980477,-0.5602190564242334,-0.1929946725476286
2026-06-05,21.03,21.26,20.98,21.03,21026263,0.7573,-0.3318,21.64,21.75,22.728,-0.6943037128024763,-0.5870359876998821,-0.21453545020518838
2026-06-08,20.6,20.95,20.13,20.25,30489837,1.0982,-3.709,21.282,21.595,22.5025,-0.7780623970688794,-0.6252412695736815,-0.30564225499039566
2026-06-09,20.35,20.49,19.97,20.15,20163432,0.7262,-0.4938,20.884000000000004,21.378,22.232499999999998,-0.8427956978808027,-0.6687521552351058,-0.34808708529139376
2026-06-10,20.0,20.57,19.9,20.02,22007371,0.7927,-0.6452,20.509999999999998,21.206,21.9705,-0.8942785324442077,-0.7138574306769262,-0.3608422035345631
2026-06-11,19.82,20.98,19.64,20.78,42127504,1.5173,3.7962,20.446,21.115000000000002,21.798,-0.8637960976156052,-0.743845164064662,-0.23990186710188643
2026-06-12,22.86,22.86,22.86,22.86,27859155,1.0034,10.0096,20.812,21.226,21.7575,-0.6641440920078274,-0.727904949653295,0.12752171529093514
2026-06-15,21.4,21.81,21.26,21.63,68745516,2.4761,-5.3806,21.088,21.185,21.679,-0.5982726449703115,-0.7019784887166984,0.20741168749277383
2026-06-16,21.39,21.87,21.09,21.13,42525148,1.5317,-2.3116,21.284,21.084,21.564500000000002,-0.5797320793999461,-0.6775292068533479,0.1955942549068037
