date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-24,26.88,27.81,25.6,25.96,461107687,9.2784,-0.1154,,,,0.0,0.0,0.0
2026-04-30,25.93,26.92,25.3,25.69,246071680,4.9514,-1.0401,,,,-0.021538461538462172,-0.004307692307692435,-0.03446153846153947
2026-05-08,25.9,28.75,25.9,28.55,310484894,6.2475,11.1327,,,,0.18998027613412205,0.03454990138067047,0.3108607495069032
2026-05-15,28.86,35.0,28.66,34.21,936586909,18.8459,19.8249,,,,0.8050450389700856,0.1886489288985535,1.232792220143064
2026-05-22,35.35,40.5,34.4,38.4,1211566803,24.3791,12.2479,30.562,,,1.6120040977279508,0.473319962664433,2.2773682701270355
2026-05-29,38.6,41.7,37.4,40.5,983309299,19.786,5.4687,33.47,,,2.3933879289743913,0.8573335559264247,3.0721087460959335
2026-06-05,40.71,47.79,39.9,45.61,1082865500,21.7893,12.6173,37.45399999999999,,,3.3859434898771674,1.3630555427165734,4.045775894321189
2026-06-12,43.2,47.55,40.62,41.14,957870767,19.2742,-9.8005,39.971999999999994,,,3.768419288420624,1.8441282918573836,3.848581993126481
2026-06-18,43.1,58.01,42.18,55.77,885761910,17.8233,35.5615,44.284000000000006,,,5.192200392254726,2.5137427119368523,5.356915360635748
