date,time,open,high,low,close,volume,amount,MA5,MA10,MA20,dif,dea,macd
2026-04-21,20260421103000000,114.31896408,115.3021608,112.82927208,113.1172792,910469,104365762.3,,,,0.0,0.0,0.0
2026-04-21,20260421113000000,113.1172792,113.43508016,112.92858488,112.92858488,228480,26010867.0,,,,-0.01505253834757525,-0.00301050766951505,-0.0240840613561204
2026-04-21,20260421140000000,112.93851616,113.39535504,112.92858488,113.17686688,188304,21448495.28,,,,-0.006868327214220926,-0.0037820715784562258,-0.006172511271529401
2026-04-21,20260421150000000,113.15700432,113.6138432,112.96831,113.4152176,399705,45612213.6,,,,0.01863580820040056,0.0007015043773151313,0.03586860764617086
2026-04-22,20260422103000000,113.0179664,113.43508016,112.53133368,113.04776024,583180,66339446.8,113.13714176,,,0.009092468958854738,0.0023796972936230526,0.01342554333046337
2026-04-22,20260422113000000,113.04776024,113.9117816,112.99810384,113.30597352,321796,36769038.25,113.174880624,,,0.022110086260099138,0.00632577508691827,0.031568622346361735
2026-04-22,20260422140000000,113.30597352,113.78267496,113.04776024,113.09741664,326232,37245754.64,113.208646976,,,0.015420091310815565,0.00814463833169773,0.01455090595823567
2026-04-22,20260422150000000,113.09741664,114.21965128,113.08748536,113.8621252,624768,71480653.49,113.34569864,,,0.07100530699089802,0.020716772063537787,0.10057706985472047
2026-04-23,20260423103000000,113.70322472,117.31821064,113.70322472,117.189104,2791785,326273478.16,114.10047591999998,,,0.37914581834148464,0.09240258131912717,0.573486474044715
2026-04-23,20260423113000000,117.17917272,117.84456848,116.07680064,116.10659448,1032913,121748443.98,114.71224276799998,113.92469226400002,,0.5298916610424556,0.17990039726379287,0.6999825275573254
2026-04-23,20260423140000000,116.10659448,116.82164664,115.87817504,116.195976,496258,58097762.72,115.290243264,114.23256194400001,,0.6490888765940213,0.27373809312983854,0.7507015669283654
2026-04-23,20260423150000000,116.195976,117.17917272,115.85831248,116.62302104,674758,79191734.15,115.99536414399999,114.60200556,,0.7691462551988764,0.3728197255436462,0.7926530593104604
2026-04-24,20260424103000000,115.70934328,119.19522256,115.12339776,119.19522256,2500528,294751063.15,117.06198361599999,115.203841128,,1.0596329693172208,0.5101823742983611,1.0989011900377195
2026-04-24,20260424113000000,119.19522256,119.3243292,118.20209456,118.32126992,1021410,122233145.02,117.28841680000001,115.69444636,,1.2054296661413701,0.6492318326669629,1.1123956669488144
2026-04-24,20260424140000000,118.3312012,118.7284524,117.69559928,117.85449976,514908,61197117.29,117.637997856,116.17512031200002,,1.2686855307626814,0.7731225722861067,0.9911259169531494
