date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,16.74180183,16.97086872,16.6322481,16.75176126,49667189,0.7307,-0.2964,,,,0.0,0.0,0.0
2026-04-22,16.78163955,16.80155841,16.6322481,16.77168012,50428588,0.7419,0.1189,,,,0.0015889688888890419,0.0003177937777778084,0.002542350222222467
2026-04-23,16.78163955,16.80155841,16.28366805,16.47289722,76398847,1.124,-1.7815,,,,-0.02101875370686912,-0.0039495157191515775,-0.03413847597543508
2026-04-24,16.48285665,16.51273494,15.99484458,16.30358691,65903114,0.9696,-1.0278,,,,-0.051998062478968876,-0.013559225071115039,-0.07687767481570768
2026-04-27,16.32350577,16.79159898,16.04464173,16.6322481,73616467,1.0831,2.0159,16.586434722,,,-0.04945904351147945,-0.02073918875918792,-0.05743970950458306
2026-04-28,16.72188297,17.53855623,16.65216696,17.17005732,138145428,2.0325,3.2335,16.670093934,,,-0.004003987813170795,-0.017392148569984497,0.026776321513627403
2026-04-29,17.31944877,17.6281911,17.09038188,17.50867794,134386280,1.9772,1.9722,16.817493498,,,0.058667048164856794,-0.0021803092230162392,0.12169471477574606
2026-04-30,16.89119328,16.931031,15.94504743,15.94504743,297702676,4.38,-8.9306,16.71192354,,,-0.017634340948252003,-0.005271115568063392,-0.024726450760377224
2026-05-06,16.07452002,16.1342766,15.70602111,15.935088,146385293,2.1537,-0.0625,16.638223758000002,,,-0.07800815485797585,-0.019818523426045884,-0.11637926286385994
2026-05-07,15.89525028,16.19403318,15.48691365,16.08447945,189779782,2.7922,0.9375,16.528670028,16.557552375,,-0.11250332752390335,-0.03835548424561738,-0.14829568655657194
2026-05-08,15.91516914,16.48285665,15.82553427,15.89525028,168991985,2.4863,-1.1765,16.27370862,16.471901277,,-0.15334257519637262,-0.061352902435768436,-0.18397934552120837
2026-05-11,15.39727878,15.39727878,14.66028096,15.21800904,284294042,4.1827,-4.2607,15.81557484,16.316534169,,-0.23761658525091178,-0.09660563899879712,-0.2820218925042293
2026-05-12,15.15825246,15.85541256,15.08853645,15.17817132,158774597,2.336,-0.2618,15.662199617999999,16.187061578999998,,-0.3041132877694146,-0.13810716875292062,-0.33201223803298796
2026-05-13,15.09849588,15.1383336,14.8395507,15.00886101,140966897,2.074,-1.1155,15.476954220000001,16.057588989,,-0.36625240093610856,-0.1837362151895582,-0.3650323714931007
2026-05-14,15.0387393,15.17817132,14.3415792,14.3415792,161513502,2.3763,-4.4459,15.12837417,15.828522099,,-0.4639935325517701,-0.23978767866200063,-0.448411707779539
2026-05-15,14.36149806,14.89930728,14.11251231,14.8395507,177247032,2.6078,3.4722,14.917234254000002,15.595471437,,-0.4955594444153011,-0.29094203181266076,-0.40923482520528065
2026-05-18,14.62044324,15.08853645,14.41129521,14.84951013,125279579,1.8432,0.0671,14.843534472000002,15.329554656,,-0.5138486864233069,-0.33552336273479,-0.3566506473770339
2026-05-19,14.8395507,15.07857702,14.57064609,14.66028096,85149704,1.2528,-1.2743,14.7399564,15.201078009000003,,-0.5374172435928468,-0.37590213890640134,-0.32303020937289095
2026-05-20,14.60052438,14.81963184,14.55072723,14.67024039,73707642,1.0844,0.0679,14.672232275999999,15.074593248,,-0.5489637399098051,-0.4105144591070821,-0.2768985616054459
2026-05-21,14.70011868,15.0387393,14.33161977,14.3415792,120733614,1.7763,-2.2403,14.672232275999999,14.900303223,15.728927799000001,-0.5779721297887903,-0.4440059932434238,-0.267932273090733
2026-05-22,14.4411735,14.51088951,14.15235003,14.35153863,85322697,1.2553,0.0694,14.574629862,14.745932058,15.6089166675,-0.5933184393545066,-0.4738684824656404,-0.23889991377773234
