date,open,high,low,close,volume,turn,pctChg,MA5,MA10,MA20,dif,dea,macd
2026-04-21,9.45,9.47,9.27,9.34,142535952,1.1275,-1.7876,,,,0.0,0.0,0.0
2026-04-22,9.36,9.37,9.21,9.23,133200041,1.0536,-1.1777,,,,-0.008774928774927915,-0.001754985754985583,-0.014039886039884663
2026-04-23,9.25,9.49,9.22,9.43,195642944,1.5476,2.1668,,,,0.00040454217092467104,-0.0013230801698035323,0.0034552446814564066
2026-04-24,9.4,9.5,9.25,9.27,139033040,1.0998,-1.6967,,,,-0.005171707568603523,-0.0020928056495635302,-0.0061578038380799855
2026-04-27,9.28,9.36,9.11,9.35,100764336,0.7971,0.863,9.324,,,-0.0030998609819814504,-0.0022942167160471144,-0.0016112885318686722
2026-04-28,9.31,9.44,9.28,9.34,99237751,0.785,-0.107,9.324000000000002,,,-0.002239014100929637,-0.0022831761930236193,8.832418418796423e-05
2026-04-29,9.35,9.52,9.35,9.49,134878166,1.0669,1.606,9.376,,,0.010426766379676877,0.0002588123215164801,0.020335908116320793
2026-04-30,9.49,9.54,9.39,9.44,132678958,1.0495,-0.5269,9.378,,,0.016242671127960406,0.0034555840828052655,0.02557417409031028
2026-05-06,9.49,9.51,9.26,9.48,154544944,1.2225,0.4237,9.42,,,0.02380507318285119,0.0075254819028144505,0.03255918256007348
2026-05-07,9.4,9.47,9.32,9.38,140657973,1.1126,-1.0549,9.426,9.375,,0.021481541195282006,0.010316693761307963,0.022329694867948086
2026-05-08,9.33,9.42,9.32,9.35,87722477,0.6939,-0.3198,9.428,9.376,,0.017023143869462132,0.011657983782938797,0.010730320173046669
2026-05-11,9.32,9.38,9.26,9.33,128756046,1.0185,-0.2139,9.396,9.386000000000001,,0.011740659994595504,0.011674519025270138,0.0001322819386507315
2026-05-12,9.31,9.32,9.13,9.19,116222527,0.9193,-1.5005,9.346,9.362,,-0.0036999260611487728,0.008599630007986355,-0.024599112138270256
2026-05-13,9.14,9.27,9.13,9.21,85177077,0.6738,0.2176,9.292,9.356,,-0.01415964532350067,0.0040477749416889496,-0.03641484053037924
2026-05-14,9.21,9.29,8.93,8.93,115760908,0.9157,-3.0402,9.202,9.314,,-0.044529400924218976,-0.005667660231492636,-0.07772348138545268
2026-05-15,8.89,8.93,8.76,8.82,109796120,0.8685,-1.2318,9.096,9.262,,-0.07659084020199991,-0.01985229622559409,-0.11347708795281164
2026-05-18,8.81,8.99,8.73,8.95,99544925,0.7874,1.4739,9.02,9.208,,-0.09046700100137706,-0.033975237180750684,-0.11298352764125275
2026-05-19,8.9,8.92,8.5,8.59,151965726,1.2021,-4.0223,8.9,9.123000000000001,,-0.12902562269887952,-0.05298531428437645,-0.15208061682900614
